"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1967181028843516278","Sun Sep 14 10:58:00 +0000 2025","0","Rp. 10.000 saldo dpt pas download apk shopeepay buat war promo serba seribu Upgrade ke spay plus login pake akun shopee &amp; masukin kode referral FF6JWV5WP diskon info freelance job receh zonauang prabowo jokowi gibran purbaya tasya farasya minggu na pd https://t.co/cziHHCGfVf https://t.co/OeI4T4X1Fm","1967181028843516278","https://pbs.twimg.com/media/G0zKqk7bUAAriax.jpg","","in","","1","0","0","https://x.com/undefined/status/1967181028843516278","791791758",
"1967075835833446655","Sun Sep 14 10:50:08 +0000 2025","1","@siap_disantap @siapanisiapasi @ARSIPAJA sejak kapan pak Purbaya jadi wakil rakyat? wkwwkkwk mending hapus komen lu kasian keluarga lu yang nanggu malu","1967179050033803381","","siap_disantap","in","","0","0","0","https://x.com/undefined/status/1967179050033803381","1492372839479275522",
"1967177882654122171","Sun Sep 14 10:45:30 +0000 2025","0","AWASI KETAT BAH..! Anggaran Kemenkeu 2026 Ini Strategi Menkeu Purbaya untuk Stabilitas dan Transformasi Ekonomi https://t.co/7pMcqC4Du0 lewat @BERGELORA.COM https://t.co/qDLqxZKmFH","1967177882654122171","https://pbs.twimg.com/media/G0zR2o2aAAAxMt5.jpg","","in","","0","0","0","https://x.com/undefined/status/1967177882654122171","1284518394880864256",
"1967176498835788244","Sun Sep 14 10:40:00 +0000 2025","2","Dua hari setelah dilantik Purbaya mengatakan akan memasukkan dana sebesar 200 triliun rupiah ke sistem perbankan untuk mempercepat pemulihan eκοnomi. Bagaimana dampak pergantian Menteri Keuangan terhadap perekonomian nasional? #MetroThisWeek hari Minggu (14/9) pukul 19.30 WIB. https://t.co/xhY6WCOxyl","1967176498835788244","https://pbs.twimg.com/media/G0o-XGEaIAAl9Bj.jpg","","in","","0","0","1","https://x.com/undefined/status/1967176498835788244","57261519",
"1967176247105982838","Sun Sep 14 10:39:00 +0000 2025","0","Dapatkan bonus Rp. 10.000 saldo pas download apk Shopeepay Caranya: Upgrade ke shopeepay plus log in dengan shopee &amp; masukin kode referral FF6JWV5WP diskon promo info freelance job receh zonauang prabowo jokowi gibran purbaya tasya farasya marco rubio https://t.co/jrJWpyIjPR https://t.co/C2GcUM8nmO","1967176247105982838","https://pbs.twimg.com/media/G0y8ctCawAA1zmR.jpg","","in","","0","0","0","https://x.com/undefined/status/1967176247105982838","1884735513976004608",
"1967175438226108592","Sun Sep 14 10:35:47 +0000 2025","0","Menkeu Purbaya Pastikan Rp200 T Cair BSI Terima Paling Sedikit https://t.co/MP6RN5kePt","1967175438226108592","","","in","","1","0","0","https://x.com/undefined/status/1967175438226108592","89877164",
"1967175057131868377","Sun Sep 14 10:34:16 +0000 2025","46","Makin membenarkan statement Menkeu Purbaya kalau 17+8 itu tuntutan sebagian kecil rakyat wkwk. Ayolah sistemnya jangan begini. Tuntutannya bagus tapi harus ada improvement","1967175057131868377","","","in","","1","1","17","https://x.com/undefined/status/1967175057131868377","1756303922195775490",
"1967115883471663311","Sun Sep 14 10:32:33 +0000 2025","0","@FelixSGL1 @ubegebe1 Siapa yg bisa memberi tahu prabowo utk menghentikan mbg ini? Purbaya?","1967174624917229575","","FelixSGL1","in","","0","1","0","https://x.com/undefined/status/1967174624917229575","945724737455472640",
"1967174370356605045","Sun Sep 14 10:31:32 +0000 2025","0","Berapa gaji Menteri Keuangan yang disebut Purbaya Yudhi Sadewa lebih rendah dibandingkan saat dirinya memimpin LPS? https://t.co/sZILC2ezot","1967174370356605045","","","in","","0","0","0","https://x.com/undefined/status/1967174370356605045","188438662",
"1967136239070384572","Sun Sep 14 10:30:58 +0000 2025","1","@ARSIPAJA ikutan Menkeu Purbaya.. beda wooy ente dgn dia","1967174226697466285","","ARSIPAJA","in","","0","0","0","https://x.com/undefined/status/1967174226697466285","1513694552443727873",
"1967173984350585047","Sun Sep 14 10:30:00 +0000 2025","0","Purbaya Yudhi Sadewa menyiapkan sejumlah terobosan setelah menjabat menteri keuangan. Salah satunya dengan menggelontorkan dana yang lebih besar ke sistem perbankan. Namun kebijakan ini menuai reaksi negatif karena dikhawatirkan melanggar disiplin pengelolaan fiskal. https://t.co/yKKK9H9Jz7","1967173984350585047","https://pbs.twimg.com/media/G0q8gdXbcAIS7rC.jpg","","in","","0","0","0","https://x.com/undefined/status/1967173984350585047","3179542928",
"1967172527601647867","Sun Sep 14 10:24:13 +0000 2025","0","ngeliat pak purbaya presentasi inimah plek ketiplek mirip banget sama pak deddy bjir","1967172527601647867","","","in","","0","0","0","https://x.com/undefined/status/1967172527601647867","1084729315143499777",
"1967172397104271694","Sun Sep 14 10:23:42 +0000 2025","81","Ide Menkeu Purbaya Kucurkan Dana Rp200 Triliun ke Perbankan Dinilai Mirip BLBI Data Perbankan Sarat Manipulasi https://t.co/BCc6mhnU1N","1967172397104271694","","","in","","0","8","38","https://x.com/undefined/status/1967172397104271694","3319260420",
"1967171990005182861","Sun Sep 14 10:22:05 +0000 2025","0","Sebaiknya Menkeu Purbaya JANGAN PERNAH MENGHADIRI RAPAT LAGI DG DPR cukup kirim dirjen dan satker saja. Level DPR memang segitu tdk level rapat dg Mentri.","1967171990005182861","","","in","","0","0","0","https://x.com/undefined/status/1967171990005182861","998881687059628032",
"1967171208551788902","Sun Sep 14 10:18:59 +0000 2025","0","Yg tdk efektif itu adalah DPR.! Jgn di balik balik spt otak kalian itu.! Gaya luar biasa cerdas tp isi kepala kopong.! @jawapos DPR Minta Publik Beri Kesempatan Buktikan Purbaya Effect https://t.co/OTdmFKWGeo","1967171208551788902","","","in","","0","0","0","https://x.com/undefined/status/1967171208551788902","157556568",
"1966761803993796869","Sun Sep 14 10:14:49 +0000 2025","0","@geloraco Boleeeeh....boleeeeeeh pak Purbaya sekalian aja telanjangin tuh","1967170160982372383","","geloraco","in","","0","0","0","https://x.com/undefined/status/1967170160982372383","1839861794351075328",
"1967118577083052228","Sun Sep 14 10:02:16 +0000 2025","1","@Andiarief__ Suruh saja PURBAYA berdebat dengan DPR. Eh ga bisa. Rapat saja disetop. TAKUT TERBONGKAR!!!!","1967167003950711040","","Andiarief__","in","","0","0","0","https://x.com/undefined/status/1967167003950711040","1889364994988666880",
"1967075835833446655","Sun Sep 14 10:01:42 +0000 2025","0","@agnesmr @ARSIPAJA gaya bicaranya purbaya memang seperti itu","1967166862132969826","","agnesmr","in","","0","0","0","https://x.com/undefined/status/1967166862132969826","1889913467668414464",
